"Link Text","URL"
"Fundamental Investors®",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=360802102"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=360802102"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=360802102"
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lann&cid=capgroup&fid=360802102"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lsem&cid=capgroup&fid=360802102"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq1&cid=capgroup&fid=360802102"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq3&cid=capgroup&fid=360802102"
"","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=39473&type=N-PX"
"International Growth and Income Fund",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=45956T105"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=45956T105"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=45956T105"
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lann&cid=capgroup&fid=45956T105"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lsem&cid=capgroup&fid=45956T105"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq1&cid=capgroup&fid=45956T105"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq3&cid=capgroup&fid=45956T105"
"","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1439297&type=N-PX"
"The Investment Company of America®",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=461308108"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=461308108"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=461308108"
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lann&cid=capgroup&fid=461308108"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lsem&cid=capgroup&fid=461308108"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq1&cid=capgroup&fid=461308108"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq3&cid=capgroup&fid=461308108"
"","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=51931&type=N-PX"
"Washington Mutual Investors Fund",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=939330106"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=939330106"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=939330106"
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lann&cid=capgroup&fid=939330106"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lsem&cid=capgroup&fid=939330106"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq1&cid=capgroup&fid=939330106"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq3&cid=capgroup&fid=939330106"
"","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=104865&type=N-PX"
"Capital Income Builder®",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=140193103"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=140193103"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=140193103"
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lann&cid=capgroup&fid=140193103"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lsem&cid=capgroup&fid=140193103"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq1&cid=capgroup&fid=140193103"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq3&cid=capgroup&fid=140193103"
"","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=811968&type=N-PX"
"The Income Fund of America®",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=453320103"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=453320103"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=453320103"
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lann&cid=capgroup&fid=453320103"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lsem&cid=capgroup&fid=453320103"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq1&cid=capgroup&fid=453320103"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq3&cid=capgroup&fid=453320103"
"","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=50013&type=N-PX"
"American Balanced Fund®",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=024071102"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=024071102"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=024071102"
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lann&cid=capgroup&fid=024071102"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lsem&cid=capgroup&fid=024071102"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq1&cid=capgroup&fid=024071102"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq3&cid=capgroup&fid=024071102"
"","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=4568&type=N-PX"
"American Funds® Global Balanced Fund",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=02629W106"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=02629W106"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=02629W106"
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lann&cid=capgroup&fid=02629W106"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lsem&cid=capgroup&fid=02629W106"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq1&cid=capgroup&fid=02629W106"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq3&cid=capgroup&fid=02629W106"
"","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1505612&type=N-PX"
"American Funds Corporate Bond Fund®",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=02629H109"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=02629H109"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=02629H109"
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lann&cid=capgroup&fid=02629H109"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lsem&cid=capgroup&fid=02629H109"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq1&cid=capgroup&fid=02629H109"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq3&cid=capgroup&fid=02629H109"
"","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1553195&type=N-PX"
"American Funds Emerging Markets Bond Fund®",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=02631F109"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=02631F109"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=02631F109"
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lann&cid=capgroup&fid=02631F109"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lsem&cid=capgroup&fid=02631F109"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq1&cid=capgroup&fid=02631F109"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq3&cid=capgroup&fid=02631F109"
"","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1660935&type=N-PX"
"American Funds Inflation Linked Bond Fund®",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=02630D105"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=02630D105"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=02630D105"
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lann&cid=capgroup&fid=02630D105"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lsem&cid=capgroup&fid=02630D105"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq1&cid=capgroup&fid=02630D105"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq3&cid=capgroup&fid=02630D105"
"","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1553197&type=N-PX"
"American Funds Mortgage Fund®",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=02630V105"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=02630V105"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=02630V105"
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lann&cid=capgroup&fid=02630V105"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lsem&cid=capgroup&fid=02630V105"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq1&cid=capgroup&fid=02630V105"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq3&cid=capgroup&fid=02630V105"
"","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1496998&type=N-PX"
"American Funds® Multi-Sector Income Fund",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=02631W102"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=02631W102"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=02631W102"
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lann&cid=capgroup&fid=02631W102"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lsem&cid=capgroup&fid=02631W102"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq1&cid=capgroup&fid=02631W102"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq3&cid=capgroup&fid=02631W102"
"","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1761673&type=N-PX"
"American Funds® Strategic Bond Fund",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=02631E102"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=02631E102"
